network_name,url,edgelist_path,node_attributes_path,directed?,multigraph?,num_nodes,num_self_loops
EAT The Edinburgh Associative Thesaurus,http://vlado.fmf.uni-lj.si/pub/networks/data/dic/eat/Eat.htm,/pajek_networks/edge_lists/Eat.htm.csv,/pajek_networks/node_id_mappings/mapping_Eat.htm.csv,True,True,39,0.0
E. Coli Transcription,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/1aorinter_st.txt,/uri_alon_networks/edge_lists/e_coli_interaction.txt,/uri_alon_networks/node_id_mappings/mapping_e_coli_interaction.txt,False,False,97,0.0
Social Social networks of positive sentimentprisoninter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/prisoninter_st.txt,../uri_alon_networks/edge_lists/prisoninter_st.txt, ,False,False,67,0.0
Social Social networks of positive sentimentleader2inter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/leader2inter_st.txt,../uri_alon_networks/edge_lists/leader2inter_st.txt, ,False,False,32,0.0
Electronic Circuitss208_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/s208_st.txt,../uri_alon_networks/edge_lists/s208_st.txt, ,False,False,122,0.0
Electronic Circuitss420_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/s420_st.txt,../uri_alon_networks/edge_lists/s420_st.txt, ,False,False,252,0.0
Electronic Circuitss838_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/s838_st.txt,../uri_alon_networks/edge_lists/s838_st.txt, ,False,False,512,0.0
English Word Adjacencydarwinbookinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/darwinbookinter_st.txt,../uri_alon_networks/edge_lists/darwinbookinter_st.txt, ,False,False,7381,0.0
French Word Adjacencyfrenchbookinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/frenchbookinter_st.txt,../uri_alon_networks/edge_lists/frenchbookinter_st.txt, ,False,False,8325,0.0
Spanish Word Adjacencyspanishbookinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/spanishbookinter_st.txt,../uri_alon_networks/edge_lists/spanishbookinter_st.txt, ,False,False,11586,0.0
Japanese Word Adjacencyjapanesebookinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/japanesebookinter_st.txt,../uri_alon_networks/edge_lists/japanesebookinter_st.txt, ,False,False,2704,0.0
Protein Structure1a4jinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/1a4jinter_st.txt,../uri_alon_networks/edge_lists/1a4jinter_st.txt, ,False,False,95,0.0
Protein Structure1eawinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/1eawinter_st.txt,../uri_alon_networks/edge_lists/1eawinter_st.txt, ,False,False,53,0.0
Protein Structure1aorinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/1aorinter_st.txt,../uri_alon_networks/edge_lists/1aorinter_st.txt, ,False,False,97,0.0
Yeast Transcriptionyeastinter_st,http://www.weizmann.ac.il/mcb/UriAlon/sites/mcb.UriAlon/files/uploads/CollectionsOfComplexNetwroks/yeastinter_st.txt,../uri_alon_networks/edge_lists/yeastinter_st.txt, ,False,False,688,0.0
Yeast,http://vlado.fmf.uni-lj.si/pub/networks/data/bio/Yeast/yeast.zip,/pajek_networks/edge_lists/yeast.zip.csv,/pajek_networks/node_id_mappings/mapping_yeast.zip.csv,False,True,2367,536.0
Tina,http://vlado.fmf.uni-lj.si/pub/networks/data//soc/Tina/DisCalSn.net,/pajek_networks/edge_lists/DisCalSn.net.csv,/pajek_networks/node_id_mappings/mapping_DisCalSn.net.csv,True,True,11,0.0
Football,http://vlado.fmf.uni-lj.si/pub/networks/doc/dagstuhl/football.htm,/pajek_networks/edge_lists/football.htm.csv,/pajek_networks/node_id_mappings/mapping_football.htm.csv,True,True,35,0.0
Slovene parties 1994,http://vlado.fmf.uni-lj.si/pub/networks/data//soc/Samo/Stranke94.net,/pajek_networks/edge_lists/Stranke94.net.csv,/pajek_networks/node_id_mappings/mapping_Stranke94.net.csv,True,False,10,0.0
Dutch Elite 2006,http://www.adobe.com/svg/viewer/install/main.html,/pozo_networks/edge_lists/main.html.csv,/pozo_networks/node_id_mappings/mapping_main.html.csv,True,True,0,0.0
Graph products,http://vlado.fmf.uni-lj.si/pub/networks/data//2mode/Sandi/refs.pdf,/pajek_networks/edge_lists/refs.pdf.csv,/pajek_networks/node_id_mappings/mapping_refs.pdf.csv,True,True,86,0.0
Computational geometry,http://vlado.fmf.uni-lj.si/pub/networks/data//collab/Geom.zip,/pajek_networks/edge_lists/Geom.zip.csv,/pajek_networks/node_id_mappings/mapping_Geom.zip.csv,True,True,7343,0.0
Network theory,http://vlado.fmf.uni-lj.si/pub/networks/data//collab/NetScience.zip,/pajek_networks/edge_lists/NetScience.zip.csv,/pajek_networks/node_id_mappings/mapping_NetScience.zip.csv,False,True,1589,0.0
September 11,http://vlado.fmf.uni-lj.si/pub/networks/doc/Terror/deg50/deg50001.htm,/pajek_networks/edge_lists/deg50001.htm.csv,/pajek_networks/node_id_mappings/mapping_deg50001.htm.csv,True,True,13308,0.0
HEP / KDD Cup 2003,http://vlado.fmf.uni-lj.si/pub/networks/data//hep-th/hep-th.zip,/pajek_networks/edge_lists/hep-th.zip.csv,/pajek_networks/node_id_mappings/mapping_hep-th.zip.csv,True,True,27770,39.0
US patents,http://vlado.fmf.uni-lj.si/pub/networks/data//patents/mainNET.zip,/pajek_networks/edge_lists/mainNET.zip.csv,/pajek_networks/node_id_mappings/mapping_mainNET.zip.csv,True,True,240547,0.0
Roget,http://vlado.fmf.uni-lj.si/pub/networks/data//dic/roget/existence.jpg,/pajek_networks/edge_lists/existence.jpg.csv,/pajek_networks/node_id_mappings/mapping_existence.jpg.csv,True,True,1022,1.0
Wordnet,http://vlado.fmf.uni-lj.si/pub/networks/data//dic/Wordnet/5papers.pdf,/pajek_networks/edge_lists/5papers.pdf.csv,/pajek_networks/node_id_mappings/mapping_5papers.pdf.csv,True,True,82679,759.0
"USF Word Association, Rhyme and Word Fragment Norms",http://vlado.fmf.uni-lj.si/pub/networks/data//dic/fa/eat,/pajek_networks/edge_lists/eat.csv,/pajek_networks/node_id_mappings/mapping_eat.csv,True,True,10619,4.0
PGP network,http://deim.urv.cat/~alexandre.arenas/data/xarxes/PGP.zip,/arenas_networks/edge_lists/PGP.zip.csv,/arenas_networks/node_id_mappings/mapping_PGP.zip.csv,True,True,10680,0.0
C. elegans metabolic network,http://deim.urv.cat/~alexandre.arenas/data/xarxes/celegans_metabolic.zip,/arenas_networks/edge_lists/celegans_metabolic.zip.csv,/arenas_networks/node_id_mappings/mapping_celegans_metabolic.zip.csv,True,True,453,22.0
facebook-wall,http://socialnetworks.mpi-sws.mpg.de/data/facebook-wall.txt.gz,../max_planck_networks/edge_lists/facebook-wall.csv,,False,False,46952,10082.0
facebook-links,http://socialnetworks.mpi-sws.mpg.de/data/facebook-links.txt.gz,../max_planck_networks/edge_lists/facebook-links.csv,,False,False,63731,0.0
email.txt,http://deim.urv.cat/~alexandre.arenas/data/xarxes/email.zip,/arenas_networks/edge_lists/email.csv,,False,False,1133,1.0
