RADZIHOVSKY, L,TONER, J
LANGEN, SAV,PEDERSEN, MH
LANGEN, SAV,GODIJN, SF
LANGEN, SAV,KNOPS, HPA
LANGEN, SAV,MOELLER, S
LANGEN, SAV,BUHMANN, H
BLANTER, YM,SCHOELLER, H
BLANTER, YM,SCHON, G
BLANTER, YM,FAZIO, R
BLANTER, YM,ZAIKIN, AD
BLANTER, YM,MUZYKANTSKII, BA
BLANTER, YM,MIRLIN, AD
BLANTER, YM,BRUDER, C
BLANTER, YM,HEKKING, FWJ
BLANTER, YM,SCHOMERUS, H
BLANTER, YM,SCHOEN, G
BLANTER, YM,SUKHORUKOV, EV
SCHOMERUS, H,FLENSBERG, K
SCHOMERUS, H,SASSETTI, M
SCHOMERUS, H,WEISS, U
SCHOMERUS, H,JAUHO, A
SCHOMERUS, H,FRAHM, KM
SCHOMERUS, H,HAAKE, F
SCHOMERUS, H,KUS, M
SCHOMERUS, H,SOMMERS, H
SCHOMERUS, H,MORTENSEN, NA
SCHOMERUS, H,PATRA, M
SCHOMERUS, H,SAMUELSSON, P
SCHOMERUS, H,MISHCHENKO, EG
SCHOMERUS, H,BEMMEL, KJHV
PAASSCHENS, JCJ,MISIRPASHAEV, TS
PAASSCHENS, JCJ,KNOPS, HPA
FRAHM, KM,SHEPELYANSKY, DL
FRAHM, KM,MULLERGROELING, A
FRAHM, KM,GUHR, T
FRAHM, KM,PATRA, M
TWORZYDLO, J,ZAANEN, J
TWORZYDLO, J,DUIN, CNAV
TWORZYDLO, J,OSMAN, OY
PATRA, M,MISHCHENKO, EG
MISHCHENKO, EG,FALKOVSKY, LA
BEMMEL, KJHV,JANSSEN, T
BEMMEL, KJHV,RAAIJ, GHFV
CHAO, KA,HADICKE, A
CHAO, KA,BOE, OL
CHAO, KA,GALPERIN, Y
CHAO, KA,GUDMUNDSSON, V
CHAO, KA,GALPERIN, YM
CHAO, KA,MULLER, H
CHAO, KA,HANKE, U
CHAO, KA,BRATAAS, A
CHAO, KA,MALSHUKOV, AG
CHAO, KA,STEINEBACH, C
CHAO, KA,HEITMANN, D
CHAO, KA,MULLER, HO
CHAO, KA,MALHUKOV, AG
CHAO, KA,ZHANG, C
CHAO, KA,WANG, XH
CHAO, KA,ODNOBLYUDOV, MA
CHAO, KA,YASSIEVICH, IN
CHAO, KA,KAGAN, MS
CHAO, KA,SHLYAPIN, VV
CHAO, KA,HALVORSEN, E
HANKE, U,HADICKE, A
HANKE, U,MULLER, H
HANKE, U,MULLER, HO
ZEE, A,HIKAMI, S
ZEE, A,PARISI, G
ZEE, A,MUDRY, C
ZEE, A,HALPERIN, BI
ZEE, A,ARGAMAN, N
ZEE, A,KARDAR, M
ZEE, A,MEZARD, M
ZEE, A,WEN, XG
ZEE, A,DANNA, J
ZEE, A,BREZIN, E
ZEE, A,GURARIE, V
ZEE, A,FEINBERG, J
MUDRY, C,CHAMON, CDC
MUDRY, C,WEN, X
MUDRY, C,TSVELIK, AM
MUDRY, C,HALPERIN, BI
MUDRY, C,FRADKIN, E
MUDRY, C,GOLDBART, PM
MUDRY, C,FURUSAKI, A
MUDRY, C,SIMONS, BD
MUDRY, C,ALTLAND, A
MUDRY, C,CHAMON, C
MUDRY, C,KOGAN, II
MUDRY, C,GURARIE, V
MUDRY, C,GRUZBERG, IA
MUDRY, C,CASTILLO, HE
HALPERIN, BI,LEVITOV, LS
HALPERIN, BI,SIMON, SH
HALPERIN, BI,SHYTOV, AV
HALPERIN, BI,CHKLOVSKII, DB
HALPERIN, BI,STERN, A
HALPERIN, BI,OREG, Y
HALPERIN, BI,OPPEN, FV
HALPERIN, BI,AFFLECK, I
HALPERIN, BI,GOLDEN, JM
HALPERIN, BI,BYCZUK, K
HALPERIN, BI,RUZIN, IM
HALPERIN, BI,COOPER, NR
HALPERIN, BI,GURARIE, V
HALPERIN, BI,HU, C
HALPERIN, BI,WAINTAL, X
HALPERIN, BI,BERGER, SD
HALPERIN, BI,MARINELLI, L
OREG, Y,FINKELSTEIN, AM
OREG, Y,KAMENEV, A
OREG, Y,GEFEN, Y
OREG, Y,BYCZUK, K
OREG, Y,SIMONS, BD
OREG, Y,ALTLAND, A
OREG, Y,DELFT, JV
OREG, Y,GERLAND, U
OREG, Y,COSTI, T
ALEINER, IL,CLARKE, P
ALEINER, IL,GLAZMAN, LI
ALEINER, IL,MATVEEV, KA
ALEINER, IL,KEE, H
ALEINER, IL,ALTSHULER, BL
ALEINER, IL,LARKIN, AI
ALEINER, IL,ANDREEV, AV
ALEINER, IL,GOLDBART, PM
ALEINER, IL,MEIR, Y
ALEINER, IL,AGAM, O
ALEINER, IL,WINGREEN, NS
ALEINER, IL,LYANDAGELLER, Y
ALEINER, IL,RUDIN, AM
ALEINER, IL,GERSHENSON, ME
ALEINER, IL,NAROZHNY, BN
ALEINER, IL,KAMINSKI, A
ALEINER, IL,BELOBORODOV, IS
ALEINER, IL,VAVILOV, MG
ALEINER, IL,SHUTENKO, TA
ALEINER, IL,KURLAND, IL
FURUSAKI, A,RICE, TM
FURUSAKI, A,MATVEEV, KA
FURUSAKI, A,SIGRIST, M
FURUSAKI, A,LEE, PA
FURUSAKI, A,ZHITOMIRSKY, ME
FURUSAKI, A,FUKUYAMA, H
FURUSAKI, A,KIM, YB
FURUSAKI, A,NAGAOSA, N
FURUSAKI, A,LEE, DKK
FURUSAKI, A,WESTERBERG, E
FURUSAKI, A,TANAKA, KB
FURUSAKI, A,GRUZBERG, IA
FURUSAKI, A,NG, KK
FURUSAKI, A,ZHANG, SC
FURUSAKI, A,HONERKAMP, C
FURUSAKI, A,HIKIHARA, T
FURUSAKI, A,AGTERBERG, D
SIMONS, BD,ALTSHULER, BL
SIMONS, BD,ANDREEV, AV
SIMONS, BD,PRIGODIN, VN
SIMONS, BD,TANIGUCHI, N
SIMONS, BD,MUCCIOLO, ER
SIMONS, BD,ALTLAND, A
SIMONS, BD,AGAM, O
SIMONS, BD,IZYUMOV, AV
SIMONS, BD,TARASSEMCHUK, D
ALTLAND, A,ZIRNBAUER, MR
ALTLAND, A,GEFEN, Y
ALTLAND, A,SCHOFIELD, AJ
ALTLAND, A,MONTAMBAUX, G
ALTLAND, A,HEKKING, FWJ
ALTLAND, A,SHAPIRO, B
ALTLAND, A,JANSSEN, M
ALTLAND, A,HEGGER, H
ALTLAND, A,HECKER, K
ALTLAND, A,BARNES, CHW
ALTLAND, A,FIEGLE, K
ALTLAND, A,TARASSEMCHUK, D
GURARIE, V,NAYAK, C
GURARIE, V,LUDWIG, AWW
GURARIE, V,KIM, YB
GURARIE, V,MIGDAL, A
GURARIE, V,FLOHR, M
GURARIE, V,REZAYI, E
GRUZBERG, IA,READ, N
GRUZBERG, IA,SACHDEV, S
GRUZBERG, IA,LUDWIG, AWW
GRUZBERG, IA,MIRLIN, AD
MARCUS, CM,ALHASSID, Y
MARCUS, CM,STONE, AD
MARCUS, CM,GOSSARD, AC
MARCUS, CM,PATEL, SR
MARCUS, CM,HUIBERS, AG
MARCUS, CM,CRONENWETT, SM
MARCUS, CM,SWITKES, M
MARCUS, CM,CHAN, IH
MARCUS, CM,CLARKE, RM
MARCUS, CM,FOLK, JA
MARCUS, CM,GODIJN, SF
MARCUS, CM,CAMPMAN, K
MARCUS, CM,ZIELINSKI, L
MARCUS, CM,CHALTIKIAN, K
MARCUS, CM,BIRNBAUM, K
MARCUS, CM,STEWART, DR
MARCUS, CM,DURUOZ, CI
MARCUS, CM,HARRIS, JS
MARCUS, CM,SPRINZAK, D
MARCUS, CM,JR, JSH
MARCUS, CM,MAURER, SM
MARCUS, CM,GOKCEDAG, M
MARCUS, CM,MORPURGO, AF
MARCUS, CM,ROBINSON, DB
PATEL, SR,ALHASSID, Y
PATEL, SR,STONE, AD
PATEL, SR,GOSSARD, AC
PATEL, SR,HUIBERS, AG
PATEL, SR,CRONENWETT, SM
PATEL, SR,SWITKES, M
PATEL, SR,CHAN, IH
PATEL, SR,CLARKE, RM
PATEL, SR,FOLK, JA
PATEL, SR,GODIJN, SF
PATEL, SR,CAMPMAN, K
PATEL, SR,STEWART, DR
PATEL, SR,DURUOZ, CI
PATEL, SR,HARRIS, JS
PATEL, SR,JR, JSH
PATEL, SR,MAURER, SM
PATEL, SR,GOKCEDAG, M
HUIBERS, AG,GOSSARD, AC
HUIBERS, AG,CRONENWETT, SM
HUIBERS, AG,SWITKES, M
HUIBERS, AG,CHAN, IH
HUIBERS, AG,CLARKE, RM
HUIBERS, AG,FOLK, JA
HUIBERS, AG,GODIJN, SF
HUIBERS, AG,CAMPMAN, K
HUIBERS, AG,STEWART, DR
HUIBERS, AG,DURUOZ, CI
HUIBERS, AG,HARRIS, JS
WAINTAL, X,WEINMANN, D
WAINTAL, X,SHEPELYANSKY, DL
WAINTAL, X,PICHARD, J
WAINTAL, X,SHEPELYANSKY, D
WAINTAL, X,BENENTI, G
WAINTAL, X,ARIAS, SDT
DURUOZ, CI,ALHASSID, Y
DURUOZ, CI,STONE, AD
DURUOZ, CI,GOSSARD, AC
DURUOZ, CI,CRONENWETT, SM
DURUOZ, CI,FOLK, JA
DURUOZ, CI,CAMPMAN, K
DURUOZ, CI,STEWART, DR
DURUOZ, CI,HARRIS, JS
DURUOZ, CI,SPRINZAK, D
DURUOZ, CI,JR, JSH
DURUOZ, CI,MAURER, SM
DURUOZ, CI,GOKCEDAG, M
HARRIS, JS,GOSSARD, AC
HARRIS, JS,CRONENWETT, SM
HARRIS, JS,FOLK, JA
HARRIS, JS,CAMPMAN, K
HARRIS, JS,STEWART, DR
HARRIS, JS,MAURER, SM
VISSENBERG, MCJM,MATTERS, M
CIRILLO, ENM,GONNELLA, G
CIRILLO, ENM,PELIZZOLA, A
CIRILLO, ENM,MARITAN, A
CIRILLO, ENM,OLIVIERI, E
CIRILLO, ENM,SPEER, ER
CIRILLO, ENM,STRAMAGLIA, S
CIRILLO, ENM,BERTINI, L
CIRILLO, ENM,LEBOWITZ, JL
CIRILLO, ENM,TROCCOLI, M
CIRILLO, ENM,BIGELIS, S
CIRILLO, ENM,CERF, R
GONNELLA, G,PELIZZOLA, A
GONNELLA, G,CORBERI, F
GONNELLA, G,YEOMANS, JM
GONNELLA, G,ORLANDINI, E
GONNELLA, G,MARITAN, A
GONNELLA, G,STRAMAGLIA, S
GONNELLA, G,TROCCOLI, M
GONNELLA, G,LAMURA, A
GONNELLA, G,SUPPA, D
PELIZZOLA, A,BUZANO, C
PELIZZOLA, A,MARITAN, A
PELIZZOLA, A,LISE, S
PELIZZOLA, A,PRETTI, M
MARITAN, A,BRAY, AJ
MARITAN, A,CIEPLAK, M
MARITAN, A,SWIFT, MR
MARITAN, A,GIACOMETTI, A
MARITAN, A,SENO, F
MARITAN, A,MICHELETTI, C
MARITAN, A,MARSILI, M
MARITAN, A,DOMANY, E
MARITAN, A,BANAVAR, JR
MARITAN, A,TOIGO, F
MARITAN, A,LISE, S
MARITAN, A,LIKOS, CN
MARITAN, A,VENDRUSCOLO, M
MARITAN, A,CALDARELLI, G
MARITAN, A,CLEMENTI, C
MARITAN, A,COLAIORI, F
MARITAN, A,FLAMMINI, A
MARITAN, A,ROSSI, A
MARITAN, A,MOURIK, JV
MARITAN, A,RINALDO, A
MARITAN, A,RODRIGUEZITURBE, I
MARITAN, A,MARANI, M
MARITAN, A,TROVATO, A
MARITAN, A,TROCCOLI, M
MARITAN, A,CECCONI, F
MARITAN, A,RIVA, MP
MARITAN, A,CARLONI, P
MARITAN, A,SETTANNI, G
MARITAN, A,BANAVAR, J
OLIVIERI, E,BERTINI, L
SPEER, ER,MUKAMEL, D
SPEER, ER,LUCK, JM
SPEER, ER,BARKEMA, GT
SPEER, ER,GODRECHE, C
SPEER, ER,EVANS, MR
SPEER, ER,SANDOW, S
SPEER, ER,SUBRAMANIAN, B
SPEER, ER,RAJEWSKY, N
SPEER, ER,LEBOWITZ, JL
SPEER, ER,DERRIDA, B
SPEER, ER,GOLDSTEIN, S
SPEER, ER,BIGELIS, S
SPEER, ER,SASAMOTO, T
STRAMAGLIA, S,ANGELINI, L
STRAMAGLIA, S,PELLICORO, M
STRAMAGLIA, S,LATTANZI, G
STRAMAGLIA, S,NARDULLI, G
STRAMAGLIA, S,PASQUARIELLO, G
STRAMAGLIA, S,CAROPPO, D
STRAMAGLIA, S,MANNARELLI, M
STRAMAGLIA, S,MARRONE, A
STRAMAGLIA, S,POLOSA, AD
STRAMAGLIA, S,SCIOSCIA, G
STRAMAGLIA, S,ZENZOLA, A
STRAMAGLIA, S,CARLO, FD
STRAMAGLIA, S,MARANGI, C
STRAMAGLIA, S,REFICE, A
STRAMAGLIA, S,GUERRIERO, L
LEBOWITZ, JL,BARKEMA, GT
LEBOWITZ, JL,NIELABA, P
LEBOWITZ, JL,SUBRAMANIAN, B
LEBOWITZ, JL,DERRIDA, B
LEBOWITZ, JL,SPOHN, H
LEBOWITZ, JL,BRITO, R
LEBOWITZ, JL,MAZEL, AE
LEBOWITZ, JL,GORENTSVEIG, V
LEBOWITZ, JL,FRATZL, P
LEBOWITZ, JL,CHERNOV, N
LEBOWITZ, JL,MAZEL, A
LEBOWITZ, JL,SAMAJ, L
LEBOWITZ, JL,ESPOSITO, R
LEBOWITZ, JL,MARRA, R
LEBOWITZ, JL,GOLDSTEIN, S
LEBOWITZ, JL,PRESUTTI, E
LEBOWITZ, JL,ASSELAH, A
LEBOWITZ, JL,BUTTA, P
LEBOWITZ, JL,BIGELIS, S
LEBOWITZ, JL,LENCI, M
LEBOWITZ, JL,LEVESQUE, D
LEBOWITZ, JL,WEIS, JJ
LEBOWITZ, JL,GIACOMIN, G
CORBERI, F,CONIGLIO, A
CORBERI, F,ZANNETTI, M
CORBERI, F,CASTELLANO, C
CORBERI, F,NICODEMI, M
CORBERI, F,LAMURA, A
CORBERI, F,PICCIONI, M
CORBERI, F,SUPPA, D
YEOMANS, JM,HARRIS, AB
YEOMANS, JM,SWIFT, MR
YEOMANS, JM,OSBORN, WR
YEOMANS, JM,ORLANDINI, E
YEOMANS, JM,SENO, F
YEOMANS, JM,MICHELETTI, C
YEOMANS, JM,DENNISTON, C
YEOMANS, JM,GRIFFITHS, RB
YEOMANS, JM,MARSH, CA
YEOMANS, JM,WAGNER, AJ
YEOMANS, JM,LAMURA, A
ORLANDINI, E,HENKEL, M
ORLANDINI, E,ORLAND, H
ORLANDINI, E,GUITTER, E
ORLANDINI, E,SCHUTZ, GM
ORLANDINI, E,SENO, F
ORLANDINI, E,STELLA, AL
ORLANDINI, E,VANDERZANDE, C
ORLANDINI, E,GAREL, T
ORLANDINI, E,DENNISTON, C
ORLANDINI, E,SANTOS, J
ORLANDINI, E,MONARI, P
LAMURA, A,SUPPA, D
HALDANE, FDM,ZIRNBAUER, MR
HALDANE, FDM,YANG, K
HALDANE, FDM,PASQUIER, V
HALDANE, FDM,MCDONALD, IA
HALDANE, FDM,MOORE, JE
HALDANE, FDM,CHARI, AR
HALDANE, FDM,REZAYI, EH
ZIRNBAUER, MR,SERBAN, D
ZIRNBAUER, MR,CASSANELLO, C
ZIRNBAUER, MR,FISHER, MPA
ZIRNBAUER, MR,METZLER, M
ZIRNBAUER, MR,BUNDSCHUH, R
ZIRNBAUER, MR,JANSSEN, M
ZIRNBAUER, MR,BOCQUET, M
YANG, K,MACDONALD, AH
YANG, K,YOSHIOKA, D
YANG, K,SONDHI, SL
YANG, K,MOON, K
YANG, K,GIRVIN, SM
YANG, K,ZHENG, L
YANG, K,HYMAN, RA
YANG, K,BHATT, RN
YANG, K,AGTERBERG, DF
YANG, K,MORI, H
YANG, K,SHAHAR, D
YANG, K,TSUI, DC
YANG, K,SHAYEGAN, M
YANG, K,BELKHIR, L
YANG, K,CHARI, AR
YANG, K,REZAYI, EH
PASQUIER, V,SERBAN, D
PASQUIER, V,LESAGE, F
MCDONALD, IA,NAYAK, C
MCDONALD, IA,BONESTEEL, NE
MOORE, JE,WEN, X
MOORE, JE,CHAMON, C
MOORE, JE,SHARMA, P
REZAYI, EH,SONDHI, SL
BASHKIN, E,PAVLOFF, N
BASHKIN, E,TREINER, J
PAVLOFF, N,TREINER, J
PAVLOFF, N,SCHMIT, C
SCHMIT, C,BOGOMOLNY, E
SCHMIT, C,LEBOEUF, P
EDER, R,OHTA, Y
EDER, R,MAEKAWA, S
EDER, R,HANKE, W
EDER, R,ARRIGONI, E
EDER, R,LORENZANA, J
EDER, R,SAWATZKY, GA
EDER, R,ZHANG, S
EDER, R,DAGOTTO, E
EDER, R,SUSHKOV, OP
EDER, R,RIERA, J
EDER, R,CHEN, YC
EDER, R,JANNER, AM
EDER, R,KOOPMANS, B
EDER, R,JONKMAN, HT
EDER, R,NAKAUCHI, A
EDER, R,TSUTSUI, K
EDER, R,ESKES, H
EDER, R,LEE, TK
EDER, R,SHIH, CT
EDER, R,ZACHER, MG
EDER, R,BRINK, JVD
EDER, R,WROBEL, P
EDER, R,LIN, HQ
EDER, R,STOICA, O
EDER, R,MEIXNER, S
EDER, R,SUSHKOV, O
EDER, R,SAWATZKY, G
EDER, R,ZHANG, SC
EDER, R,PEN, HF
EDER, R,MARTINS, GB
EDER, R,NISHIMOTO, S
EDER, R,YAMAGUCHI, M
EDER, R,ROGOJANU, O
EDER, R,KOTOV, VN
EDER, R,GROEBER, C
EDER, R,DORNEICH, A
OHTA, Y,MAEKAWA, S
OHTA, Y,SAWATZKY, GA
OHTA, Y,DAGOTTO, E
OHTA, Y,RIERA, J
OHTA, Y,CHEN, YC
OHTA, Y,NAKAUCHI, A
OHTA, Y,TSUTSUI, K
OHTA, Y,LEE, TK
OHTA, Y,SHIH, CT
OHTA, Y,WROBEL, P
OHTA, Y,LIN, HQ
OHTA, Y,NISHIMOTO, S
OHTA, Y,YAMAGUCHI, M
MAEKAWA, S,POILBLANC, D
MAEKAWA, S,DAGOTTO, E
MAEKAWA, S,RIERA, J
MAEKAWA, S,NAGAOSA, N
MAEKAWA, S,CHEN, YC
MAEKAWA, S,YAMANAKA, M
MAEKAWA, S,ENDOH, Y
MAEKAWA, S,HIROTA, K
MAEKAWA, S,NAKAUCHI, A
MAEKAWA, S,TSUTSUI, K
MAEKAWA, S,MILLER, LL
MAEKAWA, S,IMAMURA, H
MAEKAWA, S,LEE, TK
MAEKAWA, S,SHIH, CT
MAEKAWA, S,INOUE, J
MAEKAWA, S,ISHIHARA, S
MAEKAWA, S,UCHIDA, S
MAEKAWA, S,KOBAYASHI, K
MAEKAWA, S,SHEN, ZX
MAEKAWA, S,MIZUNO, Y
MAEKAWA, S,TOHYAMA, T
MAEKAWA, S,MOTOYAMA, N
MAEKAWA, S,EISAKI, H
MAEKAWA, S,YUNOKI, S
MAEKAWA, S,GAZZA, C
MAEKAWA, S,OSAFUNE, T
MAEKAWA, S,ISOBE, M
MAEKAWA, S,UEDA, Y
MAEKAWA, S,OKAMOTO, S
MAEKAWA, S,LEVY, PM
MAEKAWA, S,BRUNO, P
MAEKAWA, S,MIZOKAWA, T
MAEKAWA, S,FUJIMORI, A
MAEKAWA, S,KOSHIBAE, W
MAEKAWA, S,TAKAHASHI, S
MAEKAWA, S,SHIBATA, Y
MAEKAWA, S,NOJIRI, H
MAEKAWA, S,KANEKO, K
MAEKAWA, S,FUKUDA, T
MAEKAWA, S,KIMURA, H
MAEKAWA, S,MURAKAMI, Y
MAEKAWA, S,MOTOKAWA, M
MAEKAWA, S,NAGAI, S
MAEKAWA, S,CHIBA, J
MAEKAWA, S,MITANI, S
MAEKAWA, S,TAKANASHI, K
MAEKAWA, S,FUJIMORI, H
MAEKAWA, S,KOBAYASHI, N
HANKE, W,MUELLER, P
HANKE, W,MILA, F
HANKE, W,POILBLANC, D
HANKE, W,SCALAPINO, DJ
HANKE, W,AUERBACH, A
HANKE, W,ARRIGONI, E
HANKE, W,DEMLER, E
HANKE, W,ZHANG, S
